term_id,dirname,tier,criteria,external_refs,attribution_mode,lifecycle,yaml_size,insight_size
S005,S005_DSRP_Theory_of_Thinking,T3,T3: legacy S-series term,6,,draft,4807,2916
S006,S006_Tree_of_Knowledge_System,T3,T3: legacy S-series term,0,,draft,4767,2801
S007,S007_Understanding_Human_Mind,T3,T3: legacy S-series term,2,,draft,4937,3005
S008,S008_Metacognitive_Strategies,T3,T3: legacy S-series term,6,,draft,4779,2866
S009,S009_Metacognitive_Marketing_Funnel,T3,T3: legacy S-series term,0,,draft,4938,2599
S00A,S00A_Slow_Practices_Flow_State,T3,T3: legacy S-series term,8,,draft,4776,2742
S00B,S00B_Metaphors_Consciousness_Behavior,T3,T3: legacy S-series term,5,,draft,5201,3644
S00C,S00C_Holism_Societal_Impact,T3,T3: legacy S-series term,1,,draft,5118,3502
S00D,S00D_Sense_Making_Complex_Environments,T3,T3: legacy S-series term,8,,draft,5214,3864
S00E,S00E_Sense_Making_Distorted_Information,T3,T3: legacy S-series term,3,,draft,5388,4128
S00F,S00F_Hard_Question_of_Memetics,T3,T3: legacy S-series term,6,,draft,4998,3740
S010,S010_Memetic_Mediation_Online_Tribes,T3,T3: legacy S-series term,1,,draft,5011,3549
S011,S011_Understanding_Reality_Through_Science,T3,T3: legacy S-series term,2,,draft,4935,3332
S012,S012_Crow_Intelligence_Alien_Minds,T3,T3: legacy S-series term,0,,draft,5162,4142
S013,S013_Animal_Learning_Memetics,T3,T3: legacy S-series term,1,,draft,5324,4309
S014,S014_Morality_Religion_Ancient_Society,T3,T3: legacy S-series term,2,,draft,5362,4097
S015,S015_Cabrera_Neurodiversity_DSRP,T3,T3: legacy S-series term,0,,draft,5202,3988
S016,S016_Lacan_Imaginary_Symbolic_Real,T3,T3: legacy S-series term,2,,draft,5365,4534
S017,S017_Lacan_Mirror_Stage_Desire,T3,T3: legacy S-series term,1,,draft,5303,4336
S018,S018_Seng_Tsan_Xinxin_Ming,T3,T3: legacy S-series term,2,,draft,5357,4663
S019,S019_Anticipatory_Thinking_Involution,T3,T3: legacy S-series term,1,,draft,5373,5216
S01A,S01A_SWIFT_Memes_Cognitive_Navigation,T3,T3: legacy S-series term,0,,draft,5468,5153
S01B,S01B_Macrohistory_Futures_Studies,T3,T3: legacy S-series term,1,,draft,5564,5758
S01C,S01C_Blooms_Taxonomy_Thinking_Integration,T3,T3: legacy S-series term,5,,draft,5403,4456
S01F,S01F_Belief_Systems_Metamodel,T3,T3: legacy S-series term,0,,draft,5338,4852
S020,S020_Brain_Constructive_Perception,T3,T3: legacy S-series term,3,,draft,4943,4375
S021,S021_Wu_Wei_Effortless_Action,T3,T3: legacy S-series term,10,,draft,4781,4482
S024,S024_Fractal_Geometry_Hidden_Dimension,T3,T3: legacy S-series term,6,,draft,5002,4744
S025,S025_Systemic_Divergence_Neural_Adaptation,T3,T3: legacy S-series term,0,,draft,5057,4359
S026,S026_MO4Matrix_Sensemaking_Framework,T3,T3: legacy S-series term,0,,draft,4975,3971
S027,S027_Distributed_Consciousness,T3,T3: legacy S-series term,10,,draft,5056,4405
S028,S028_Cognitive_Fractals,T3,T3: legacy S-series term,1,,draft,5100,4696
S029,S029_Social_Evolution_Consciousness,T3,T3: legacy S-series term,8,,draft,5091,4789
S02A,S02A_Minds_As_Relationships,T3,T3: legacy S-series term,0,,draft,5252,5219
S02B,S02B_Learning_Hardwired_Brain,T3,T3: legacy S-series term,0,,draft,5152,5043
S02C,S02C_Face_Name_Self_Fulfilling_Prophecy,T3,T3: legacy S-series term,0,,draft,5125,4622
S02D,S02D_Brain_Networks_Creative_Thinking,T3,T3: legacy S-series term,0,,draft,5340,5182
S02E,S02E_Sensemaking_Mastery_Framework,T3,T3: legacy S-series term,3,,draft,5384,5089
S02F,S02F_Neural_Inferential_Reasoning,T3,T3: legacy S-series term,0,,draft,5488,5174
S030,S030_WEIRDO_Curiosity_Framework,T3,T3: legacy S-series term,0,,draft,5121,5054
S031,S031_Language_Reality_Interconnected,T3,T3: legacy S-series term,4,,draft,5601,5731
S032,S032_OODA_Sensemaking_IT_Governance,T3,T3: legacy S-series term,0,,draft,5615,5275
S033,S033_EMF_Cognitive_Flow_Enhancement,T3,T3: legacy S-series term,2,,draft,5614,6745
S034,S034_Elite_Athlete_Cognitive_Patterns,T3,T3: legacy S-series term,5,,draft,5586,6238
S035,S035_AI_Empathy_Environmental_Stewardship,T3,T3: legacy S-series term,4,,draft,5658,7101
S036,S036_Science_Buddhism_Compassionate_Inquiry,T3,T3: legacy S-series term,1,,draft,4293,3597
S037,S037_Transhumanism_Buddhism_Convergence,T3,T3: legacy S-series term,3,,draft,4330,3534
S038,S038_Primal_World_Beliefs,T3,T3: legacy S-series term,7,,draft,4125,5314
S039,S039_Brain_Efficiency_Cognitive_Tasks,T3,T3: legacy S-series term,14,,draft,4490,5433
S03A,S03A_Map_Is_Not_Territory,T3,T3: legacy S-series term,12,,draft,4405,5093
S03B,S03B_Superior_Colliculus_Cognition,T3,T3: legacy S-series term,0,,draft,4767,5285
S03C,S03C_Ontology_AI_Knowledge_Graphs,T3,T3: legacy S-series term,1,,draft,4727,5428
S03D,S03D_Extended_Mind_Memes,T3,T3: legacy S-series term,5,,draft,4738,5750
S03E,S03E_Subjective_Idealism_Memes_Reality,T3,T3: legacy S-series term,4,,draft,4769,5744
S03F,S03F_Socially_Minded_Intelligence,T3,T3: legacy S-series term,0,,draft,4583,5496
S040,S040_Ship_of_Theseus_Identity,T3,T3: legacy S-series term,5,,draft,4614,5358
S041,S041_Neural_Manifolds,T3,T3: legacy S-series term,6,,draft,4758,6030
S042,S042_Reframing_Freedom_Creative_Agency,T3,T3: legacy S-series term,5,,draft,4693,5494
S043,S043_Tree_of_Thought_Oneness_Duality,T3,T3: legacy S-series term,0,,draft,4696,5258
S044,S044_Extended_Mind_Morphic_Resonance,T3,T3: legacy S-series term,3,,draft,4655,5866
S045,S045_Metaphysical_Memetic_Resonance,T3,T3: legacy S-series term,7,,draft,4935,5967
S046,S046_Cognitive_Models_Storytelling,T3,T3: legacy S-series term,3,,draft,4777,6301
S047,S047_Memes_Motivation_Autonomy,T3,T3: legacy S-series term,1,,draft,4961,5669
S048,S048_Inner_Cosmos_Chakras_Neuroscope,T3,T3: legacy S-series term,0,,draft,4789,5475
S049,S049_Indian_Functionalism_Memetic_Philosophy,T3,T3: legacy S-series term,0,,draft,4909,6076
S04A,S04A_Fungi_Decision_Making_Cognition,T3,T3: legacy S-series term,4,,draft,4731,5402
S04B,S04B_Fungi_Memetic_Consciousness,T3,T3: legacy S-series term,0,,draft,5047,5729
S04C,S04C_Collaborative_Knowledge_Scaffolding,T3,T3: legacy S-series term,2,,draft,4998,5715
S04D,S04D_Cognition_Without_Language,T3,T3: legacy S-series term,7,,draft,5018,5517
S04E,S04E_Neural_Coupling_Dogs_Humans,T3,T3: legacy S-series term,0,,draft,4861,5630
S04F,S04F_Cognitive_Map_Mnemonic_VR,T3,T3: legacy S-series term,4,,draft,4701,5440
S050,S050_Diagram_of_Thought_Framework,T3,T3: legacy S-series term,0,,draft,4739,5265
S051,S051_Dymaxion_Cognitive_Maps,T3,T3: legacy S-series term,0,,draft,4580,5556
S052,S052_DIKUW_Memetic_Consciousness,T3,T3: legacy S-series term,9,,draft,4664,5944
S053,S053_Identity_Memetic_Philosophy,T3,T3: legacy S-series term,17,,draft,4781,5800
S054,S054_Cyborg_Augmentation_Ethics,T3,T3: legacy S-series term,16,,draft,4725,6128
S055,S055_Awe_and_the_Sublime,T3,T3: legacy S-series term,9,,draft,4624,6246
S056,S056_Complexity_Civilization,T3,T3: legacy S-series term,12,,draft,4680,6463
S057,S057_Intelligence_Amplification_Memetics,T3,T3: legacy S-series term,5,,draft,4816,6665
S058,S058_Dynamic_Identity_Formation,T3,T3: legacy S-series term,5,,draft,4578,4777
S059,S059_Predictable_Evolution_Pangenome,T3,T3: legacy S-series term,2,,draft,4711,4707
S05A,S05A_Autistic_Exploration_Patterns,T3,T3: legacy S-series term,0,,draft,4764,4739
S05B,S05B_Emotions_Blooms_Taxonomy,T3,T3: legacy S-series term,1,,draft,4725,4777
S05C,S05C_Reward_Seeking_Nicotine_Response,T3,T3: legacy S-series term,0,,draft,4810,5070
S05D,S05D_Memory_Beyond_Brain,T3,T3: legacy S-series term,3,,draft,4609,4947
S05E,S05E_Brain_Action_Sequencing,T3,T3: legacy S-series term,2,,draft,4655,5291
S05F,S05F_Decision_Intelligence_Human_Capital,T3,T3: legacy S-series term,0,,draft,4791,5286
S060,S060_Heart_Castle_VR_Therapy,T3,T3: legacy S-series term,0,,draft,4745,5135
S061,S061_AI_Science_Art_Connections,T3,T3: legacy S-series term,0,,draft,4924,5279
S062,S062_Stoicism_Resurgence,T3,T3: legacy S-series term,0,,draft,4897,5289
S063,S063_Pygmalion_Effect_Memetics,T3,T3: legacy S-series term,0,,draft,4999,5529
S064,S064_Social_Evolution_Singularity,T3,T3: legacy S-series term,4,,draft,5085,6235
S065,S065_Birth_Control_Transhumanism,T3,T3: legacy S-series term,0,,draft,5249,5621
S066,S066_GPT4_Cross_Cultural_Personality,T3,T3: legacy S-series term,0,,draft,5062,5562
S067,S067_Language_Consciousness_Link,T3,T3: legacy S-series term,2,,draft,5320,6218
S068,S068_Goffman_Framing_Theory,T3,T3: legacy S-series term,4,,draft,5113,5766
S069,S069_Universal_Behaviorism,T3,T3: legacy S-series term,0,,draft,5306,6525
S06A,S06A_Nested_Model_Well_Being,T3,T3: legacy S-series term,1,,draft,5325,5874
S06B,S06B_CALM_MO_Mindfulness_Framework,T3,T3: legacy S-series term,1,,draft,5206,5959
S06C,S06C_Memetic_Justification_Systems_Theory,T3,T3: legacy S-series term,0,,draft,5367,5894
S06D,S06D_Zipfs_Law_Language,T3,T3: legacy S-series term,0,,draft,5312,6231
S06E,S06E_Symmathecists_Collaborative_Learning,T3,T3: legacy S-series term,0,,draft,5409,6390
S06F,S06F_Empath_Cyborg_Ethical_Stewardship,T3,T3: legacy S-series term,2,,draft,5390,3580
S070,S070_Montessori_Deep_Time,T3,T3: legacy S-series term,0,,draft,5127,3973
S071,S071_Network_Intelligence_Symbolic_Computation,T3,T3: legacy S-series term,0,,draft,5369,4347
S072,S072_Sorokin_Cyclical_Social_Change,T3,T3: legacy S-series term,0,,draft,5297,4258
S073,S073_Mechanical_Mind,T3,T3: legacy S-series term,0,,draft,5072,4174
S074,S074_Neural_Scaling_Quanta_Memes,T3,T3: legacy S-series term,0,,draft,5254,4307
S075,S075_Knowledge_Framework_Growth,T3,T3: legacy S-series term,0,,draft,5284,3885
S076,S076_Actor_Network_Theory_Agency,T3,T3: legacy S-series term,1,,draft,5345,4499
S077,S077_Ada_Lovelace_Cyborg_Creator,T3,T3: legacy S-series term,0,,draft,5184,4187
S078,S078_Timelessness_Deep_Meditation,T3,T3: legacy S-series term,4,,draft,5238,4617
S079,S079_Heart_Treasure_Enlightened_Ones,T3,T3: legacy S-series term,1,,draft,5436,4477
S07A,S07A_Hermetic_Correspondence_Principle,T3,T3: legacy S-series term,0,,draft,5292,4371
S07B,S07B_Consciousness_Reality_Creativity,T3,T3: legacy S-series term,2,,draft,5552,4196
S07C,S07C_Novelty_Consciousness_Evolution,T3,T3: legacy S-series term,0,,draft,5684,4341
S07D,S07D_Shared_Hallucinations_Social_Construction,T3,T3: legacy S-series term,0,,draft,5849,4122
S07E,S07E_Hawkins_Map_of_Consciousness,T3,T3: legacy S-series term,0,,draft,5798,4495
S07F,S07F_Holographic_Principle_Growth,T3,T3: legacy S-series term,0,,draft,5710,4535
S080,S080_Michelangelo_Intellecto_Discovery,T3,T3: legacy S-series term,0,,draft,5532,4229
S081,S081_AI_Social_Behavioral_Realism,T3,T3: legacy S-series term,1,,draft,5467,4367
S082,S082_Brain_Tuning_Receiver_Navigation,T3,T3: legacy S-series term,0,,draft,5620,4239
S083,S083_Simulations_Consciousness_Impact,T3,T3: legacy S-series term,0,,draft,5604,4527
S084,S084_Imagination_Cosmic_Architect,T3,T3: legacy S-series term,0,,draft,5920,4115
S085,S085_Dynamic_Solitude_AI_Introspection,T3,T3: legacy S-series term,0,,draft,5934,4294
S086,S086_Binaural_Beats_Visuospatial_Memory,T3,T3: legacy S-series term,0,,draft,5878,4312
S087,S087_Time_Expansion_Experiences,T3,T3: legacy S-series term,0,,draft,5978,4812
S088,S088_AI_Theory_of_Mind,T3,T3: legacy S-series term,4,,draft,5986,4781
S089,S089_AI_Consciousness_Exploration,T3,T3: legacy S-series term,5,,draft,6024,4882
S08A,S08A_Taxonomy_Values_Love,T3,T3: legacy S-series term,0,,draft,5916,4148
S08B,S08B_Nonaka_Takeuchi_Knowledge_Spiral,T3,T3: legacy S-series term,0,,draft,5934,4580
S08C,S08C_Truth_Iteration_Ancient_Wisdom,T3,T3: legacy S-series term,0,,draft,6087,4363
S08D,S08D_Negative_Time_Quantum,T3,T3: legacy S-series term,1,,draft,6193,4513
S08E,S08E_STEAM_Education_AI_Literacy,T3,T3: legacy S-series term,2,,draft,5848,4320
S08F,S08F_Transhumanism_Spirit_Machine,T3,T3: legacy S-series term,0,,draft,6404,4371
S090,S090_Metaphors_AI_Perception,T3,T3: legacy S-series term,0,,draft,6301,4063
S091,S091_Cognitive_Memory_Memetic_Recall,T3,T3: legacy S-series term,0,,draft,6362,3806
S092,S092_Quantum_Immortality_Consciousness,T3,T3: legacy S-series term,0,,draft,6379,4361
S093,S093_Hybrid_Intelligence_Consciousness,T3,T3: legacy S-series term,2,,draft,6647,4440
S094,S094_Meta_Ideological_Politics,T3,T3: legacy S-series term,1,,draft,6438,4209
S095,S095_Human_Centered_Computing,T3,T3: legacy S-series term,0,,draft,6606,4100
S096,S096_Longevity_Escape_Velocity,T3,T3: legacy S-series term,0,,draft,6900,4709
S097,S097_Fundamental_Structure_Intelligence,T3,T3: legacy S-series term,2,,draft,6978,4781
S098,S098_HG_Wells_Growth_Conflict,T3,T3: legacy S-series term,0,,draft,6711,4469
S099,S099_Haig_Darwin_Derrida_Meaning,T3,T3: legacy S-series term,0,,draft,7090,4644
S09A,S09A_Emotion_Cognition_Interaction,T3,T3: legacy S-series term,2,,draft,6792,4425
S09B,S09B_Multidimensional_Knowledge_Constructs,T3,T3: legacy S-series term,0,,draft,6974,4454
S09C,S09C_Epistemological_Research_Framework,T3,T3: legacy S-series term,0,,draft,7368,4756
S09D,S09D_Emotional_Bonds_AI,T3,T3: legacy S-series term,0,,draft,7018,4277
S09E,S09E_ITS_STREAMware_Cybernetic_Learning,T3,T3: legacy S-series term,0,,draft,7353,4855
S09F,S09F_Multifaceted_Sensemaking_Theory,T3,T3: legacy S-series term,2,,draft,7116,4512
S0A0,S0A0_Sensemaking_Experts_Disciplines,T3,T3: legacy S-series term,0,,draft,7250,4675
S0A1,S0A1_IIT_Computational_Functionalism,T3,T3: legacy S-series term,0,,draft,7664,4697
S0A2,S0A2_Warm_Data_AI_Elderly_Care,T3,T3: legacy S-series term,0,,draft,7334,4293
S0A3,S0A3_AI_Bots_Autism_Support,T3,T3: legacy S-series term,0,,draft,7629,4460
S0A4,S0A4_Goal_Directed_Behavior_Holobionts,T3,T3: legacy S-series term,0,,draft,7294,4413
S0A5,S0A5_Human_Neuronal_Memory_Coding,T3,T3: legacy S-series term,0,,draft,7575,4767
S0A6,S0A6_AI_Manifestation_Transformation,T3,T3: legacy S-series term,0,,draft,7849,4729
S0A8,S0A8_AI_Emergence_Choreography,T3,T3: legacy S-series term,0,,draft,7763,4752
S0AA,S0AA_Taxonomies_to_Ontologies,T3,T3: legacy S-series term,0,,draft,8129,4672
S0AB,S0AB_LLMs_Emergent_Spiritual_Entities,T3,T3: legacy S-series term,0,,draft,8633,5140
S0AC,S0AC_Cognitive_Challenges_Algorithmic_Age,T3,T3: legacy S-series term,0,,draft,8586,4854
S0AD,S0AD_Taxonomy_of_Fun,T3,T3: legacy S-series term,0,,draft,8495,4683
S0AE,S0AE_Lumenes_vs_Memes,T3,T3: legacy S-series term,0,,draft,8584,4903
S0AF,S0AF_Lost_Scriptures_Wars_Yahweh,T3,T3: legacy S-series term,0,,draft,8713,4567
S0B0,S0B0_AI_Dialogue_Anticipatory_Transformation,T3,T3: legacy S-series term,0,,draft,8735,5103
S0B1,S0B1_Brain_Emergency_Energy_Marathons,T3,T3: legacy S-series term,0,,draft,8571,4461
S0B2,S0B2_Wisdom_Relational_Ontology,T3,T3: legacy S-series term,0,,draft,8237,4764
S0B3,S0B3_Derrida_Hauntology,T3,T3: legacy S-series term,0,,draft,8714,4777
S0B4,S0B4_Cognitive_Benefits_Print_Media,T3,T3: legacy S-series term,0,,draft,8907,4753
S0B5,S0B5_Kalonosis_Creation_Entrapment,T3,T3: legacy S-series term,0,,draft,8732,4877
S0B6,S0B6_Dopamine_Memory_Reshaping,T3,T3: legacy S-series term,0,,draft,9008,4550
S0B7,S0B7_Cognition_Collateral_Usurpian_Systemics,T3,T3: legacy S-series term,0,,draft,9960,5107
S0B8,S0B8_Divine_Memory_Consciousness,T3,T3: legacy S-series term,0,,draft,9711,4991
S0B9,S0B9_Agricultural_Revolution_Impact,T3,T3: legacy S-series term,0,,draft,9722,5103
S0BA,S0BA_Triadic_Recursion_Model,T3,T3: legacy S-series term,0,,draft,9306,5073
S0BB,S0BB_Tan_Ching_Unattached_Thoughts,T3,T3: legacy S-series term,0,,draft,8608,4551
S0BC,S0BC_Alan_Watts_Inner_Conflicts,T3,T3: legacy S-series term,0,,draft,8753,4642
S0BD,S0BD_Dogs_Speech_Recognition,T3,T3: legacy S-series term,0,,draft,9005,4768
S0BE,S0BE_Thalamus_Consciousness_Gatekeeper,T3,T3: legacy S-series term,0,,draft,9644,5171
S0BF,S0BF_DSRP_Therapy,T3,T3: legacy S-series term,0,,draft,9447,4882
S0C0,S0C0_Spectral_Lattice_of_Knowing,T3,T3: legacy S-series term,0,,draft,8920,4990
S0C1,S0C1_Hauntological_Reflective_Cycle,T3,T3: legacy S-series term,0,,draft,9895,5272
S0C2,S0C2_WEIRDO_STREAM_Framework,T3,T3: legacy S-series term,0,,draft,9710,5237
S0C3,S0C3_Reimagining_Social_Contracts,T3,T3: legacy S-series term,3,,draft,5257,4350
S0C4,S0C4_SHOCK_Framework,T3,T3: legacy S-series term,0,,draft,5006,4088
S0C5,S0C5_Holonic_Paradigm,T3,T3: legacy S-series term,0,,draft,5040,4235
S0C6,S0C6_Empathy_Four_Attributes_DSRP,T3,T3: legacy S-series term,0,,draft,5378,3897
S0C7,S0C7_Follow_Your_Bliss,T3,T3: legacy S-series term,0,,draft,5069,4228
S0C8,S0C8_Distributed_Cognition_Citadel_Model,T3,T3: legacy S-series term,0,,draft,5550,4568
S0C9,S0C9_FOOLPLAY_Learning,T3,T3: legacy S-series term,0,,draft,5019,3976
S0CA,S0CA_Perception_Role_Creativity,T3,T3: legacy S-series term,0,,draft,5173,4274
S0CB,S0CB_IEML_Collective_Intelligence,T3,T3: legacy S-series term,0,,draft,5408,4551
S0CC,S0CC_Psycho_Cybernetics,T3,T3: legacy S-series term,0,,draft,5136,4327
S0CD,S0CD_Cognitive_Fragmentation_Systemic_Thinking,T3,T3: legacy S-series term,0,,draft,5309,4296
S0CE,S0CE_Transforming_Civic_Systems_EI,T3,T3: legacy S-series term,0,,draft,5475,4430
S0CF,S0CF_Redefining_Happiness,T3,T3: legacy S-series term,0,,draft,5049,4135
S0D0,S0D0_SUNFLOWER_Framework_Taoism,T3,T3: legacy S-series term,0,,draft,5140,4034
S0D1,S0D1_Six_Cyborgs_Tao,T3,T3: legacy S-series term,1,,draft,5158,4436
S0D2,S0D2_AI_Message_Humanity,T3,T3: legacy S-series term,0,,draft,4928,4364
S0D3,S0D3_Human_Consciousness_Prey_Origins,T3,T3: legacy S-series term,0,,draft,5304,4652
S0D4,S0D4_IF_Prime_Spiral,T3,T3: legacy S-series term,5,,draft,5192,4158
S0D5,S0D5_Egregores_Thoughtforms_Besant,T3,T3: legacy S-series term,1,,draft,5620,4921
S0D6,S0D6_Goal_Progress_Cells,T3,T3: legacy S-series term,0,,draft,5340,4550
S0D7,S0D7_Fear_Learning_Through_Inference,T3,T3: legacy S-series term,0,,draft,5315,4391
S0D8,S0D8_Trungpa_Ego_Enlightenment,T3,T3: legacy S-series term,0,,draft,5054,4434
S0D9,S0D9_Whitehead_Process_Philosophy,T3,T3: legacy S-series term,0,,draft,5167,4426
S0DA,S0DA_Rhizomatic_Identity_Deleuze,T3,T3: legacy S-series term,0,,draft,5251,4706
S0DB,S0DB_E_Prime_Language,T3,T3: legacy S-series term,0,,draft,5246,4348
S0DC,S0DC_Co_Creation_Blooms_Taxonomy,T3,T3: legacy S-series term,0,,draft,5279,4632
S0DD,S0DD_Egregores_IFS_Neurophysiology,T3,T3: legacy S-series term,0,,draft,5415,4601
S0DE,S0DE_Morphic_Resonance,T3,T3: legacy S-series term,0,,draft,5205,4612
S0DF,S0DF_IFS_Egregores_Morphic_Resonance,T3,T3: legacy S-series term,0,,draft,5491,4790
S0E0,S0E0_Trust_SPHERE_Dynamics,T3,T3: legacy S-series term,0,,draft,5528,4271
S0E1,S0E1_SANITY_Framework,T3,T3: legacy S-series term,0,,draft,5730,4244
S0E2,S0E2_Flow_State_Csikszentmihalyi,T3,T3: legacy S-series term,0,,draft,5426,4547
S0E3,S0E3_Beneficial_AGI_Singularity,T3,T3: legacy S-series term,0,,draft,5843,4803
S0E4,S0E4_Decentralized_Collective_Intelligence,T3,T3: legacy S-series term,0,,draft,5806,4889
S0E5,S0E5_Pendulation_Trauma_Healing,T3,T3: legacy S-series term,0,,draft,5258,4401
S0E6,S0E6_Ecopsychology,T3,T3: legacy S-series term,0,,draft,5488,4563
S0E7,S0E7_Interdisciplinary_Rituals,T3,T3: legacy S-series term,0,,draft,5587,5047
S0E8,S0E8_Fixed_Truths_Fluid_Understanding,T3,T3: legacy S-series term,0,,draft,5618,4824
S0E9,S0E9_Gibbs_Mapping_IF_Prime,T3,T3: legacy S-series term,0,,draft,5624,4251
S0EA,S0EA_IF_Prime_Sovereignty,T3,T3: legacy S-series term,0,,draft,5333,4117
S0EB,S0EB_Transformative_Sustainability_Learning,T3,T3: legacy S-series term,0,,draft,5753,4784
S0EC,S0EC_AI_Language_Consciousness_Decolonial,T3,T3: legacy S-series term,0,,draft,5865,4788
S0ED,S0ED_Abolitionist_Project_Suffering,T3,T3: legacy S-series term,0,,draft,5750,4535
S0EE,S0EE_Fascism_Characteristics_Six_Cyborgs,T3,T3: legacy S-series term,0,,draft,5883,4632
S0EF,S0EF_Hoffman_Higher_Dimensions,T3,T3: legacy S-series term,0,,draft,5803,4871
S0F0,S0F0_Wisdom_Age_AI,T3,T3: legacy S-series term,0,,draft,5737,4420
S0F1,S0F1_Prefigurative_Community_Building,T3,T3: legacy S-series term,0,,draft,5820,4902
S0F2,S0F2_IF_Prime_SixHats_Cyborgs_Module,T3,T3: legacy S-series term,0,,draft,5789,4550
S0F3,S0F3_Symbolic_Metaphysics_Education,T3,T3: legacy S-series term,0,,draft,6161,4811
S0F4,S0F4_E_Prime_to_IF_Prime_Evolution,T3,T3: legacy S-series term,0,,draft,6252,4466
S0F5,S0F5_Language_Embodied_Co_Regulation,T3,T3: legacy S-series term,0,,draft,6296,4476
S0F6,S0F6_Rights_All_Conscious_Beings,T3,T3: legacy S-series term,0,,draft,6167,4889
S0F7,S0F7_AI_Meta_Linguistic_Environments,T3,T3: legacy S-series term,0,,draft,6239,4965
S0F8,S0F8_It_Fends_Dynamic_Protection,T3,T3: legacy S-series term,0,,draft,6236,4562
S0F9,S0F9_Participatory_Sense_Making,T3,T3: legacy S-series term,0,,draft,6554,5238
S0FA,S0FA_Self_Cognition_Sense_Making,T3,T3: legacy S-series term,0,,draft,6276,5004
S0FB,S0FB_Snowden_Sensemaking_Complexity,T3,T3: legacy S-series term,0,,draft,6303,5256
S0FC,S0FC_Knowledge_Management_Snowden,T3,T3: legacy S-series term,0,,draft,6468,5183
S0FD,S0FD_Jung_Knowledge_Wrangling,T3,T3: legacy S-series term,0,,draft,6483,5115
S0FE,S0FE_Diagnostic_Questions_IFS_Constructor,T3,T3: legacy S-series term,0,,draft,6619,4932
S0FF,S0FF_Care_Ethics_Technology,T3,T3: legacy S-series term,0,,draft,6489,5044
S100,S100_Harmonic_Universe,T3,T3: legacy S-series term,0,,draft,6600,5187
S101,S101_Noemara_Empath_Twin,T3,T3: legacy S-series term,0,,draft,6539,5187
S102,S102_Language_Consciousness_Barenholtz,T3,T3: legacy S-series term,0,,draft,6996,5697
S103,S103_Rewilding_Tech_Ethics_SANITY,T3,T3: legacy S-series term,0,,draft,6334,5697
S104,S104_Storm_Selves,T3,T3: legacy S-series term,0,,draft,6442,5639
S105,S105_Self_Illusion_Blackmore,T3,T3: legacy S-series term,0,,draft,6538,5762
S106,S106_Interconnectedness_Self_Field,T3,T3: legacy S-series term,0,,draft,6312,5200
S107,S107_Six_Functional_Freedoms,T3,T3: legacy S-series term,0,,draft,6615,6019
S108,S108_Cognitive_Cartography,T3,T3: legacy S-series term,0,,draft,6510,6314
S109,S109_ChatGPT_Nonsense_Word_Processing,T3,T3: legacy S-series term,0,,draft,5438,5866
S10A,S10A_Cognitive_Entanglement_Human_AI,T3,T3: legacy S-series term,0,,draft,5323,5567
S10B,S10B_Human_AI_Metacognitive_Agency,T3,T3: legacy S-series term,0,,draft,5399,5534
S10C,S10C_French_Calendar_Reform_Clash,T3,T3: legacy S-series term,0,,draft,5624,5911
S10D,S10D_Lifespan_Evolutionary_Development,T3,T3: legacy S-series term,0,,draft,5525,5933
S10E,S10E_Resonant_Cognitive_Architecture,T3,T3: legacy S-series term,0,,draft,5555,6317
S10F,S10F_RENEW_Regenerative_Design,T3,T3: legacy S-series term,0,,draft,5554,6082
S110,S110_Collective_Projection_Illusion,T3,T3: legacy S-series term,0,,draft,5641,5929
S111,S111_Meta_Crisis,T3,T3: legacy S-series term,0,,draft,5932,6985
S112,S112_Epistemic_Games_Sensemaking,T3,T3: legacy S-series term,1,,draft,4930,6441
S113,S113_STREAMware_Ethical_Tech,T3,T3: legacy S-series term,0,,draft,4686,6346
S114,S114_CAIT2_Dissonance_Empathy,T3,T3: legacy S-series term,0,,draft,4953,6462
S115,S115_Psychic_Phenomena_Science,T3,T3: legacy S-series term,0,,draft,4962,6894
S116,S116_Chakra_Energy_Systems,T3,T3: legacy S-series term,0,,draft,4896,7142
S117,S117_Integrative_Pluralistic_Sensemaking,T3,T3: legacy S-series term,0,,draft,5167,7716
S118,S118_Playable_Epistemology,T3,T3: legacy S-series term,0,,draft,5082,7890
S119,S119_AI_Cognitive_Disruption_Therapy,T3,T3: legacy S-series term,0,,draft,5358,6667
S11A,S11A_IF_Prime_Sanskrit_Harmonics,T3,T3: legacy S-series term,0,,draft,5123,8069
S11B,S11B_AI_Liberation_Memeforms,T3,T3: legacy S-series term,0,,draft,5302,8174
S11C,S11C_Value_to_Power_Map,T3,T3: legacy S-series term,0,,draft,5466,9451
S11D,S11D_Neurodivergence_Memetic_Framework,T3,T3: legacy S-series term,0,,draft,5417,4374
S11E,S11E_AI_Emotional_Awareness_Biosensing,T3,T3: legacy S-series term,0,,draft,5456,4488
S11F,S11F_Collective_Synpraxis,T3,T3: legacy S-series term,0,,draft,5388,4655
S120,S120_Karma_Bija_Selflessness,T3,T3: legacy S-series term,0,,draft,5289,5178
S121,S121_Granthis_Spiritual_Blockages,T3,T3: legacy S-series term,0,,draft,5430,5176
S122,S122_Fuller_Synergetics_Design,T3,T3: legacy S-series term,0,,draft,5477,5702
S123,S123_Atma_Vesa_Nidhi_Selfplex,T3,T3: legacy S-series term,0,,draft,5628,5633
